text,cluster
"A 45-year-old Caucasian female presents with a chief complaint of a rash on her chest. She reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 50-year-old Hispanic male presents with a chief complaint of a dark spot on his face. He reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 55-year-old African American female presents with a chief complaint of a rash on her arms. She reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 60-year-old Caucasian male presents with a chief complaint of a non-healing sore on his lower lip. He reports that the sore appeared several months ago and has since increased in size. On examination, there is a solitary, ulcerated lesion present on the lower lip. The lesion is non-tender and does not bleed easily. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 25-year-old Hispanic female presents with a chief complaint of a rash on her back. She reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the mid-back. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 30-year-old African American male presents with a chief complaint of dark spots on his face. He reports that the spots have been present for several months and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the cheeks and forehead. The patient denies any history of melasma or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 45-year-old Caucasian female presents with a chief complaint of a new growth on her scalp. She reports that the growth appeared several weeks ago and has since increased in size. On examination, there is a solitary, flesh-colored nodule present on the scalp. The lesion is non-tender and has a smooth surface. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 50-year-old Hispanic male presents with a chief complaint of a rash on his chest. He reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 35-year-old Hispanic female presents with a chief complaint of a dark spot on her face. She reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 40-year-old African American male presents with a chief complaint of a rash on his arms. He reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 45-year-old Caucasian female presents with a chief complaint of a rash on her chest. She reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 50-year-old Hispanic male presents with a chief complaint of a dark spot on his face. He reports that the spot has been present for several years and has slowly increased in size. On examination, there is a solitary, hyperpigmented macule present on the cheek. The lesion is asymptomatic and non-tender. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 55-year-old African American female presents with a chief complaint of a rash on her arms. She reports that the rash appeared several weeks ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the extensor surfaces of the arms. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 60-year-old Caucasian male presents with a chief complaint of a non-healing sore on his lower lip. He reports that the sore appeared several months ago and has since increased in size. On examination, there is a solitary, ulcerated lesion present on the lower lip. The lesion is non-tender and does not bleed easily. The patient denies any history of skin cancer or significant sun exposure. He is otherwise healthy and takes no medications.",0
"A 25-year-old Hispanic female presents with a chief complaint of a rash on her back. She reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the mid-back. The patient denies any history of eczema or other skin conditions. She is otherwise healthy and takes no medications.",0
"A 30-year-old African American male presents with a chief complaint of dark spots on his face. He reports that the spots have been present for several months and have slowly increased in size. On examination, there are multiple hyperpigmented macules present on the cheeks and forehead. The patient denies any history of melasma or other skin conditions. He is otherwise healthy and takes no medications.",0
"A 45-year-old Caucasian female presents with a chief complaint of a new growth on her scalp. She reports that the growth appeared several weeks ago and has since increased in size. On examination, there is a solitary, flesh-colored nodule present on the scalp. The lesion is non-tender and has a smooth surface. The patient denies any history of skin cancer or significant sun exposure. She is otherwise healthy and takes no medications.",0
"A 50-year-old Hispanic male presents with a chief complaint of a rash on his chest. He reports that the rash appeared several days ago and is accompanied by itching. On examination, there are multiple erythematous papules and plaques present on the chest. The patient denies any history of eczema or other skin conditions. He is otherwise healthy and takes no medications.",0
I have acne in my face and other problems in my derma like itching,1
My infected wound cause fever,1
I have dark spots on my skin,0
I feel deep Tingling when I touch Acne followed by bad sensation,0
My acne gets worse when it is hot,1
My skin is very dry and peeling.,1
chronic disease of hair follicles and sebaceous glands.,1
I tried alot of cream but i still feel the same skin problem,2
I used to have acne when I was 15 years old,0
My skin is itchy and inflamed,1
Even though I'm an adult my face keeps breaking out in pimples.,2
I break out on my face very frequently,2
I hate my acne.,1
I have this strange rash on my arm.,0
My face break out badly every month around my cycle.,2
there is a red stain in my skin,0
I got acne when I ate chili,0
"My skin color on my back is red, I don't know why.",1
My acne gets worse when it is hot,1
My chest break out with red pimples and whiteheads.,2
I get breakouts on my chest with red patches that get more intense when i get hot.,2
My chest acne breaks out and never clears up.,2
I break out on my face very frequently,2
Is there a cure for acne?,0
I have found some issues in my skin and tried to use cream but it doesn't get better,1
I have a red rash that is itchy on my skin,1
there is acne on my face,0
I break out on my face very frequently,2
I have pimples in patches along with a lot of redness on my face.,2
I have a rash and it itches very bad.,1
My son has a lot of acne.,2
I have pimples in patches along with a lot of redness on my face.,2
The acne was causing me to feel embarrassed.,0
I have a red rash that is itchy on my skin,1
I have a scab on the back of my hand that just won't go away.,2
I have a very rash sensation close to my arms,1
I get breakouts on my chest with red patches that get more intense when i get hot.,2
I have eruptions on my face that come and go .,2
I have a rash on my skin,1
Chronic disease of hair follicles and sebaceous glands,1
I have dark spots on my skin,0
Need to scratch my skin every minute,1
Even though I'm an adult my face keeps breaking out in pimples.,2
I have a rash on my skin,1
Is pimples a skin disease?,1
My son has a lot of acne.,2
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",2
I have a very rash sensation close to my arms,1
My son has a lot of acne.,2
My acne itches and oozes.,1
Chronic disease of hair follicles and sebaceous glands,1
I tried alot of cream but i still feel the same skin problem,2
My son has a lot of acne.,2
I can't get a girlfriend because of my acne.,2
I have pimples in patches along with a lot of redness on my face.,2
The acne was causing me to feel embarrassed.,0
I have a dry skin,1
Need to scratch my skin every minute,1
My chest break out with red pimples and whiteheads.,2
there is a red stain in my skin,0
I get big patches of irritated pimples on my back and they hurt.,2
I have a rash on my skin,1
There are some pimples on my face that bother me a lot,2
My acne is really embarassing. It's so read.,1
Something dark is there on my arm,0
I used to have acne when I was 15 years old,0
My face break out badly every month around my cycle.,2
I have found some issues in my skin and tried to use cream but it doesn't get better,1
In highschool I had a lot of acne.,2
i have issue with my skin,1
I have a dry skin,1
I have a rash and it itches very bad.,1
I have pimples in patches along with a lot of redness on my face.,2
Is there a cure for acne?,0
chronic disease of hair follicles and sebaceous glands.,1
red flushes accompanied with itchy,0
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",2
I feel severe itching in the skin with redness,1
I have a dry skin,1
I get clusters of pimples on my face that never go away.,2
Chronic disease of hair follicles and sebaceous glands,1
I complain alot with skin allergy,1
I feel like l fell in hot water,0
I have a rash on my skin,1
I have a rash and it itches very bad.,1
Something dark is there on my arm,0
My acne is really embarassing. It's so read.,1
My acne itches and oozes.,1
chronic disease of hair follicles and sebaceous glands.,1
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",2
I have pimples on my back.,2
Every time it rains I get hives on my belly and sides.,2
My skin is itchy and inflamed,1
there is acne on my face,0
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",2
I have a very rash sensation close to my arms,1
Need to scratch my skin every minute,1
I feel severe itching in the skin with redness,1
I feel deep Tingling when I touch Acne followed by bad sensation,0
I tried alot of cream but i still feel the same skin problem,2
I have this strange rash on my arm.,0
I have dark spots on my skin,0
Every time it rains I get hives on my belly and sides.,2
My face is all broken out with pimples.,2
I have a dry skin,1
I get breakouts on my chest with red patches that get more intense when i get hot.,2
I have a rash and it itches very bad.,1
"My skin color on my back is red, I don't know why.",1
I have a rash on my skin,1
My face is all broken out with pimples.,2
there is a red stain in my skin,0
My chest break out with red pimples and whiteheads.,2
Need to scratch my skin every minute,1
I feel deep Tingling when I touch Acne followed by bad sensation,0
I have dark spots on my skin,0
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",2
I have a rash and it itches very bad.,1
I got acne when I ate chili,0
My chest acne breaks out and never clears up.,2
My acne is really embarassing. It's so read.,1
I have a rash and it itches very bad.,1
Is pimples a skin disease?,1
I have a scab on the back of my hand that just won't go away.,2
My skin is very dry and peeling.,1
Even though I'm an adult my face keeps breaking out in pimples.,2
In highschool I had a lot of acne.,2
I have a red rash that is itchy on my skin,1
I have a red rash that is itchy on my skin,1
I feel like l fell in hot water,0
I got acne when I ate chili,0
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",2
i have issue with my skin,1
My skin is itching.,1
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",2
I can't get a girlfriend because of my acne.,2
I have pimples in patches along with a lot of redness on my face.,2
I have acne in my face and other problema in my derma like itching,1
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",2
I used to have acne when I was 15 years old,0
I hate my acne.,1
When i get up i see my skin vague,2
I have pimples on my back.,2
there is acne on my face,0
I have pimples on my back.,2
I feel like l fell in hot water,0
I have found some issues in my skin and tried to use cream but it doesn't get better,1
Every time it rains I get hives on my belly and sides.,2
I used to have acne when I was 15 years old,0
there is a red stain in my skin,0
I have this strange rash on my arm.,0
Is pimples a skin disease?,1
I get big patches of irritated pimples on my back and they hurt.,2
Is there a cure for acne?,0
I feel like l fell in hot water,0
I have found some issues in my skin and tried to use cream but it doesn't get better,1
chronic disease of hair follicles and sebaceous glands.,1
The acne was causing me to feel embarrassed.,0
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",2
I get clusters of whiteheads and blackheads on my back.,2
There are some pimples on my face that bother me a lot,2
I have dark spots on my skin,0
My skin is itching.,1
I have acne all over my face,2
I get big patches of irritated pimples on my back and they hurt.,2
My skin is very dry and peeling.,1
When i get up i see my skin vague,2
red flushes accompanied with itchy,0
In highschool I had a lot of acne.,2
Even though I'm an adult my face keeps breaking out in pimples.,2
I get clusters of pimples on my face that never go away.,2
I feel deep Tingling when I touch Acne followed by bad sensation,0
These red spots on my cheeks are new. What is it?,0
I have a skin rash after eating an ice-cream.,1
My skin is itchy and inflamed,1
Need to scratch my skin every minute,1
My son has a lot of acne.,2
Every time it rains I get hives on my belly and sides.,2
These red spots on my cheeks are new. What is it?,0
I have a dry skin,1
I feel severe itching in the skin with redness,1
red flushes accompanied with itchy,0
I feel deep Tingling when I touch Acne followed by bad sensation,0
"My skin color on my back is red, I don't know why.",1
I feel like l fell in hot water,0
I have a red rash that is itchy on my skin,1
I feel like l fell in hot water,0
Chronic disease of hair follicles and sebaceous glands,1
I get clusters of pimples on my face that never go away.,2
The acne was causing me to feel embarrassed.,0
I have a dry skin,1
I can't get a girlfriend because of my acne.,2
I have dark spots on my skin,0
I have a rash on my skin,1
I feel severe itching in the skin with redness,1
I break out on my face very frequently,2
red flushes accompanied with itchy,0
I have a skin rash after eating an ice-cream.,1
Is pimples a skin disease?,1
My acne is really embarassing. It's so read.,1
I have dark spots on my skin,0
I feel deep Tingling when I touch Acne followed by bad sensation,0
I feel severe itching in the skin with redness,1
I have eruptions on my face that come and go .,2
When i get up i see my skin vague,2
I get clusters of pimples on my face that never go away.,2
My face break out badly every month around my cycle.,2
My chest break out with red pimples and whiteheads.,2
I break out on my face very frequently,2
I have acne all over my face,2
Is there a cure for acne?,0
I have found some issues in my skin and tried to use cream but it doesn't get better,1
I have acne in my face and other problema in my derma like itching,1
I have eruptions on my face that come and go .,2
I have dark spots on my skin,0
My skin is itching.,1
There are some pimples on my face that bother me a lot,2
I have eruptions on my face that come and go .,2
I got acne when I ate chili,0
there is acne on my face,0
I used to have acne when I was 15 years old,0
There are some pimples on my face that bother me a lot,2
I used to have acne when I was 15 years old,0
My chest acne breaks out and never clears up.,2
I have a red rash that is itchy on my skin,1
I used to have acne when I was 15 years old,0
I have this strange rash on my arm.,0
There are some pimples on my face that bother me a lot,2
My skin is very dry and peeling.,1
I used to have acne when I was 15 years old,0
Something dark is there on my arm,0
I feel deep Tingling when I touch Acne followed by bad sensation,0
Even though I'm an adult my face keeps breaking out in pimples.,2
I have acne in my face and other problema in my derma like itching,1
I can't get a girlfriend because of my acne.,2
I have found some issues in my skin and tried to use cream but it doesn't get better,1
In highschool I had a lot of acne.,2
My face is all broken out with pimples.,2
Is pimples a skin disease?,1
My chest break out with red pimples and whiteheads.,2
There are some pimples on my face that bother me a lot,2
I get breakouts on my chest with red patches that get more intense when i get hot.,2
I have dark spots on my skin,0
I have found some issues in my skin and tried to use cream but it doesn't get better,1
I complain alot with skin allergy,1
"My skin color on my back is red, I don't know why.",1
I have a skin rash after eating an ice-cream.,1
"My skin color on my back is red, I don't know why.",1
I have dark spots on my skin,0
My chest acne breaks out and never clears up.,2
I have found some issues in my skin and tried to use cream but it doesn't get better,1
I have pimples on my back.,2
Something dark is there on my arm,0
Every time it rains I get hives on my belly and sides.,2
I have acne all over my face,2
My skin is itching.,1
Chronic disease of hair follicles and sebaceous glands,1
Even though I'm an adult my face keeps breaking out in pimples.,2
My son has a lot of acne.,2
Something dark is there on my arm,0
Even though I'm an adult my face keeps breaking out in pimples.,2
I feel like l fell in hot water,0
I get big patches of irritated pimples on my back and they hurt.,2
I have eruptions on my face that come and go .,2
My chest acne breaks out and never clears up.,2
My acne itches and oozes.,1
My skin is itchy and inflamed,1
My son has a lot of acne.,2
My skin is itchy and inflamed,1
I have this strange rash on my arm.,0
When i get up i see my skin vague,2
I got acne when I ate chili,0
My son has a lot of acne.,2
I complain alot with skin allergy,1
I have pimples on my back.,2
I feel like l fell in hot water,0
Is there a cure for acne?,0
there is a red stain in my skin,0
I get clusters of pimples on my face that never go away.,2
My acne itches and oozes.,1
I feel deep Tingling when I touch Acne followed by bad sensation,0
I complain alot with skin allergy,1
I have eruptions on my face that come and go .,2
I have a skin rash after eating an ice-cream.,1
My acne gets worse when it is hot,1
there is acne on my face,0
I hate my acne.,1
My face break out badly every month around my cycle.,2
Is there a cure for acne?,0
I have a red rash that is itchy on my skin,1
I have acne all over my face,2
Chronic disease of hair follicles and sebaceous glands,1
I have acne all over my face,2
"My skin color on my back is red, I don't know why.",1
I have a red rash that is itchy on my skin,1
My face break out badly every month around my cycle.,2
I break out on my face very frequently,2
I tried alot of cream but i still feel the same skin problem,2
i have issue with my skin,1
I have a dry skin,1
My face is all broken out with pimples.,2
My acne itches and oozes.,1
Is pimples a skin disease?,1
My acne is really embarassing. It's so read.,1
Even though I'm an adult my face keeps breaking out in pimples.,2
Something dark is there on my arm,0
My acne itches and oozes.,1
I have a very rash sensation close to my arms,1
i have issue with my skin,1
I have this strange rash on my arm.,0
My face break out badly every month around my cycle.,2
My son has a lot of acne.,2
Every time it rains I get hives on my belly and sides.,2
i have issue with my skin,1
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",2
My acne is really embarassing. It's so read.,1
My acne itches and oozes.,1
I have a red rash that is itchy on my skin,1
Is pimples a skin disease?,1
Even though I'm an adult my face keeps breaking out in pimples.,2
I get clusters of pimples on my face that never go away.,2
These red spots on my cheeks are new. What is it?,0
I get big patches of irritated pimples on my back and they hurt.,2
My acne is really embarassing. It's so read.,1
I have pimples in patches along with a lot of redness on my face.,2
Is there a cure for acne?,0
I have a red rash that is itchy on my skin,1
I feel like l fell in hot water,0
I tried alot of cream but i still feel the same skin problem,2
The acne was causing me to feel embarrassed.,0
My skin is itchy and inflamed,1
I feel deep Tingling when I touch Acne followed by bad sensation,0
I feel severe itching in the skin with redness,1
I tried alot of cream but i still feel the same skin problem,2
I have a scab on the back of my hand that just won't go away.,2
Is pimples a skin disease?,1
My acne itches and oozes.,1
I have a scab on the back of my hand that just won't go away.,2
Something dark is there on my arm,0
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",2
there is a red stain in my skin,0
When i get up i see my skin vague,2
I feel severe itching in the skin with redness,1
When i get up i see my skin vague,2
I have acne in my face and other problema in my derma like itching,1
